"time","arr_delay","n"
14,9.71498,207
14.0167,13.0823,158
13.8667,12.3684,152
14.05,12.1761,176
14.0833,7.69364,173
13.9833,10.5902,183
13.9167,7.76966,178
14.7167,7.84142,310
14.4833,3.25359,418
14.3167,2.58766,308
13.9667,8.34014,147
13.95,10.0867,151
15.5,2.78803,402
14.1333,8.03518,201
13.9333,9.72059,136
15.1167,17.9758,124
13.8833,13.5966,119
14.6833,6.84375,320
7.46667,-2.5594,463
7.31667,-4.40616,358
7.28333,-4.82267,345
7.23333,-5.39007,282
7.3,-4.74114,367
7.18333,-8.37805,165
7.21667,-6.70155,260
7.25,-5.89577,307
7.36667,-4.27991,445
7.71667,-0.946996,283
7.4,-2.27673,477
7.35,-0.884712,399
7.2,-6.87895,190
7.16667,-5.82857,176
7.51667,-1.09804,357
7.26667,-4.84615,288
7.68333,-1.14583,240
7.33333,-4.76441,400
19.9833,14.0101,198
19.9667,13.4038,213
21,6.1307,330
19.9167,16.25,208
20.75,23.374,132
20.4833,38.015,133
19.8833,14.0402,200
20.25,22,130
20.3333,27.12,125
21.3167,9.90423,356
19.9333,12.5659,182
20.5,36.8106,132
19.95,13.8598,214
20.0667,16.2292,144
20.6,24.6379,116
20.0167,14.0355,169
20.7167,19.4775,112
20.15,18.2253,182
20.65,19.5414,133
19.9,15.1905,189
16.5167,6.79821,223
16.6,16.3543,175
16.3833,13.9157,178
16.4833,11.1096,221
16.4167,11.2108,186
16.5,10.1927,275
16.45,15.403,204
18.5833,17.0556,162
16.65,11.4804,204
17.8667,10.7106,273
16.5333,8.2963,244
17.1333,17.563,119
16.6833,13.9581,167
16.6333,11.6168,167
16.3667,17.7566,192
16.35,11.4277,167
16.5667,11.0046,218
16.5833,15.3422,225
16.9333,11.8466,189
17.9333,3.54601,327
18.3833,11.9436,195
17.9167,9.5277,345
17.95,4.60497,364
17.85,7.68051,313
17.7667,9.0283,318
17.8167,10.6515,330
18.1667,13.8228,256
19.5667,9.26908,253
18.8,8.33636,220
17.8,10.787,340
17.9,9.90286,350
18.1167,11.6978,269
18.05,8.71739,323
18.65,17.9444,144
17.8333,7.26738,375
18.3,11.9309,189
17.8833,8.45513,312
18.4667,18.5183,164
19.0833,4.80653,400
18.2,9.71212,199
18.9333,8.84211,362
9.11667,1.33233,332
9.5,1.28667,300
9.26667,0.316667,301
9.06667,-0.567251,342
9.68333,6.66,150
9.01667,-1.06593,365
9.15,-0.636905,338
9.05,-0.369186,344
9.38333,2.38194,290
9.3,0.484076,315
9.2,-0.905983,352
9.16667,1.20977,349
9.13333,3.00268,376
10.2,1.89524,315
10.1333,-1.73046,371
10.3,-0.627273,330
10.4333,1.32121,330
10.35,-1.15909,311
10.3333,1.0255,353
10.1667,0.643836,365
10.3167,3.63696,304
10.4833,0.587879,334
10.6333,6.5283,320
11.5667,5.11985,269
10.4,0.290503,360
10.3667,0.139159,310
10.2833,0.620209,287
10.2667,2.71845,309
10.25,1.07165,322
10.6667,6.75988,332
10.2167,-0.201863,324
12.1833,11.594,133
12,4.34156,245
12.0667,5.19459,186
12.1,13.4438,178
12.0833,9.22905,180
12.0333,4.31858,226
12.2833,15.0367,109
12.3667,9.24528,106
12.5833,11.3333,129
